log_L,log_Teff,mass_flame
0.7385103,3.6851568,1.0512539
-0.05751981,3.7680295,1.027342
-0.15348864,3.7680335,0.9923189
-0.94043946,3.6372054,0.6837297
0.39630795,3.8047862,1.2327666
-0.4847702,3.7303727,0.89758754
0.37222064,3.8046782,1.2665046
0.71301216,3.8043447,1.3875302
1.2932682,3.7785656,1.8805609
0.3990801,3.7783685,1.086924
0.078052856,3.7962015,1.146929
0.6730505,3.7864976,1.3281119
1.7022725,3.7969198,2.3362377
0.026945038,3.7438157,0.9612744
2.2108884,3.7749119,3.1701915
1.2317381,3.800969,1.7992057
0.34992334,3.7806416,1.0660552
0.69661623,3.7794178,1.2574701
0.7896876,3.779767,1.3995136
1.1168514,3.7890306,1.7014806
-0.39844057,3.9979317,0.9066603
0.41460174,3.7841413,1.1780897
1.9000424,3.9622936,2.6447713
0.4468387,3.7784235,1.1222161
-0.24150984,3.7618601,0.94607836
2.5657377,4.216976,4.625873
0.8376255,3.7736025,1.4313732
1.011948,3.755437,1.5808868
2.1768246,3.7845683,3.1649363
0.4321818,3.7750268,1.1109241
0.3090397,3.8262763,1.3130957
1.5303735,3.7813544,2.1195817
1.8368553,4.0824385,2.9036539
2.0083017,4.021395,2.8851922
0.68762195,3.7779307,1.2512772
2.5877597,3.7946784,4.0804806
2.5154533,3.7712364,3.9743595
1.6662163,4.055367,2.6655207
2.829602,3.785033,5.347042
2.1967509,3.9938655,3.1017904
1.7610406,3.7020943,3.2027693
0.3710267,3.8105977,1.2359138
0.50932235,3.7874079,1.2429451
0.67057675,3.7770393,1.2751825
0.7173787,3.7821085,1.2950186
1.6549269,3.7803655,2.3378248
2.7527316,3.7783716,4.5770054
1.8314584,3.7707067,2.67435
2.7686582,4.0252314,4.222214
2.0610409,3.7669952,2.8008258
-0.5226644,3.6816425,0.75984794
2.2601485,4.11897,3.5380123
0.8873084,3.7777858,1.468673
1.0973113,3.7852821,1.675988
0.6991089,3.7806997,1.2869385
1.5233004,3.7757359,2.277362
0.6761686,3.7776008,1.2471722
2.4034595,3.7952743,3.6697705
2.475951,4.04021,3.6337276
2.218884,3.797029,3.0578723
2.708554,4.181663,4.547421
0.74181044,3.7800446,1.3243421
2.899464,4.1406703,4.7218122
2.2326746,3.7915866,3.479895
3.227889,4.2899857,6.5427647
1.1429651,3.7407293,1.7056714
1.6314137,3.6725485,2.7018433
0.14819118,3.750438,0.93813694
0.66305184,3.7387373,1.3000621
1.3446285,3.7473612,1.9507531
0.70423067,3.7912536,1.3427149
0.4364561,3.801938,1.2430657
0.36030823,3.8140187,1.2720505
-0.29595295,3.743861,0.93545645
0.23867497,3.8155217,1.2491622
0.32975188,3.7889125,1.1383301
1.219148,3.7067816,1.902392
0.10928779,3.7943792,1.1511716
1.5436331,3.6945045,2.5016313
0.8027523,3.7897706,1.4156086
-0.511226,3.7245436,0.88709545
0.2376276,3.8126569,1.2452464
1.3319756,3.734859,1.9019159
-0.46584916,3.7422152,0.8563052
0.39151835,3.8133602,1.2759641
0.48619255,3.8043826,1.2569685
0.479966,3.813537,1.2936672
1.0641161,3.792942,1.6314375
0.48232195,3.7180068,1.0757356
-0.44024605,3.7334683,0.8870359
0.7931529,3.8034866,1.4457144
-0.08101927,3.7805378,1.0420752
0.77216595,3.7853518,1.4103334
0.40795544,3.8000531,1.2273618
-0.40372443,3.7528229,0.9540385
-0.6573015,3.6573496,0.73034334
0.90540755,3.7951314,1.4988195
0.6866885,3.7732906,1.279925
-0.4506359,3.7262957,0.8954277
0.6110218,3.7917333,1.302518
-0.4203387,3.7465005,0.8984142
0.59990925,3.8121226,1.3202246
0.22378296,3.7714393,0.9918392
0.34968066,3.8037817,1.2371233
2.3747177,3.7570977,3.6753154
0.2736002,3.8051205,1.2179285
-0.39520675,3.6882386,0.78190464
2.836536,4.257994,5.3857684
1.6297809,3.7957573,2.3278565
0.09226296,3.7010899,0.90489507
-1.1470362,3.5527334,0.5445407
0.19605139,3.7050214,0.9493058
0.48106217,3.7654822,1.1004522
3.0379095,3.7876291,5.9039984
0.44531927,3.8136172,1.2696532
0.5446073,3.8055696,1.2693323
0.8846645,3.757625,1.480417
0.45069,3.8072867,1.2358651
-0.53838056,3.702053,0.83427674
0.17051317,3.7552803,0.95721436
-0.12855121,3.7718706,1.0478294
-0.17344686,3.7731047,1.0324317
0.23730753,3.8118875,1.2492009
-0.83839136,3.6544702,0.7265275
-0.49084604,3.727667,0.8921655
-0.49043578,3.7218256,0.87886125
2.5012453,3.779858,3.873041
0.56082183,3.6954687,1.090437
0.34497494,3.8040206,1.2310661
-0.09404349,3.774569,0.9941301
-0.085214555,3.7871118,1.0654577
0.37613943,3.806167,1.2416507
0.537764,3.775856,1.1577218
1.7168031,3.6721315,2.6036456
0.82616466,3.786313,1.4467694
1.6716053,3.694913,2.6012065
2.662814,3.7739801,4.273184
-0.12505361,3.7773952,1.018484
-1.0564957,3.66457,0.6333256
0.67756975,3.784622,1.2762269
1.5347346,3.7302444,2.1032734
0.14516594,3.7265494,0.9467907
-0.22896816,3.747851,0.9833243
0.2372089,3.803197,1.2159213
-0.7008786,3.7108612,0.8009927
0.15879017,3.7916412,1.1465983
-0.5282721,3.6685433,0.74548155
0.023639647,3.7883117,1.1203136
0.74716854,3.8083484,1.4102589
0.8988108,3.7778811,1.4548547
0.86857486,3.782844,1.4550672
1.0878195,3.783196,1.6542089
0.13549684,3.8048785,1.1616257
1.6731938,4.0242386,2.5242927
-0.60063213,3.7032094,0.80271924
-1.0082108,3.5981135,0.58226866
-0.16713929,3.7003407,0.8619929
1.9399931,3.7227328,2.994506
-0.51599103,3.7367444,0.9236718
0.6675954,3.7807217,1.2533824
0.43102345,3.762733,1.0789223
2.0394347,3.7852712,3.08343
0.9297165,3.7926302,1.5397729
0.053299308,3.7866979,1.1151989
0.62427145,3.792168,1.3188488
3.313892,4.2644243,6.4661303
0.65569764,3.7905846,1.3249286
1.1956642,3.7813668,1.7580636
-0.62848914,3.6770377,0.7598749
0.80879027,3.775618,1.3972616
2.021917,3.9688232,2.8397996
0.29438812,3.7715206,1.0526545
0.16165088,3.802391,1.1600745
0.98531485,3.7781081,1.5872399
0.72703254,3.7816174,1.2939167
0.6408533,3.7902641,1.3185499
2.390649,3.7900703,3.666789
3.2604978,4.257916,6.2680497
2.4876795,3.7836115,3.9732285
1.0924195,3.7820785,1.6740543
2.1402044,3.8062599,3.1617925
2.1054883,4.0012245,2.9789746
2.743379,4.224857,4.9658885
0.7023825,3.7615151,1.2903602
1.7382174,4.016755,2.5612142
2.6200678,3.7704716,4.2773285
-0.39832965,3.7509675,0.9056037
-0.18209285,3.7438598,0.9332385
1.1516705,3.7733634,1.6932871
0.10173534,3.7600212,0.976182
0.57207566,3.7712507,1.171681
0.5503645,3.8015661,1.2779092
-0.5976382,3.7206914,0.883844
0.49989796,3.8077736,1.2621853
0.74017775,3.8017173,1.405466
0.6637364,3.7903068,1.3340883
1.2720642,3.7768722,1.812558
1.4582691,3.7964263,2.0728533
2.939981,4.2468038,5.488523
1.0504662,3.7897522,1.6330405
0.47865048,3.789497,1.2308481
0.3580088,3.7809958,1.0669403
-0.79685587,3.6345897,0.6801521
-0.02339639,3.7804937,1.0912535
0.4087045,3.8058553,1.2589196
-0.2963288,3.769784,0.9488826
1.0666752,3.7836869,1.6223443
0.3779072,3.8058646,1.2596456
0.48228455,3.8107762,1.2616429
0.7528766,3.80952,1.4198468
1.0119854,3.72771,1.6506286
0.41270587,3.7951877,1.2289212
0.61293346,3.800909,1.3173535
-0.20817626,3.7051992,0.8011205
0.48544928,3.7841601,1.2251127
0.42124438,3.7954721,1.2451288
-0.30824354,3.702271,0.83674914
1.4827079,3.693298,1.8572496
-0.1628646,3.7729921,1.0228
0.12248799,3.761885,0.9316119
-0.93065274,3.703947,0.6645083
0.12658477,3.7796946,1.0964184
-0.40916812,3.730957,0.8966689
1.2054586,3.7856455,1.7767631
0.52736527,3.790072,1.2522843
0.87297475,3.7989538,1.5033126
0.78104275,3.761078,1.3601475
1.3513874,3.8036766,1.9777111
0.21273464,3.8060155,1.2045208
2.1383128,3.7844932,3.1678991
1.8700379,3.8050892,2.6557646
-0.55445194,3.7102404,0.8099702
-1.2423004,3.5657609,0.54890543
-0.09979573,3.7214751,0.85849124
-0.38244948,3.7325206,0.9026111
0.4412117,3.7765381,1.1326231
0.45004234,3.8185186,1.3109401
0.572584,3.749555,1.1798302
-0.21326445,3.714007,0.8521364
1.2096751,3.8003283,1.8002609
0.83954823,3.7639632,1.4079155
1.4702134,3.7822099,2.0692363
-0.37183815,3.6997395,0.8411237
0.36465168,3.8109143,1.2666513
0.20553532,3.7266607,0.94064856
-1.144458,3.6027696,0.6077243
0.4330603,3.7455957,1.0598342
0.7236665,3.7713292,1.3172795
